id,rarity,category,slots,max_level
sweeping_strike,UNCOMMON,WEAPON,MAIN_HAND,5
sweeping_slash,UNCOMMON,WEAPON,MAIN_HAND,5
last_stand_slayer,RARE,WEAPON,MAIN_HAND,5
focused_ambush,RARE,WEAPON,MAIN_HAND,5
cavalier,RARE,WEAPON,MAIN_HAND,5
leader,RARE,WEAPON,MAIN_HAND,3
peerless,VERY_RARE,WEAPON,MAIN_HAND,10
poison_fang,UNCOMMON,WEAPON,MAIN_HAND,3
reinforced_sweeping,VERY_RARE,WEAPON,MAIN_HAND,5
lumberjack,VERY_RARE,WEAPON,MAIN_HAND,5
tree_felling,RARE,WEAPON,MAIN_HAND,3
extracting,VERY_RARE,DIGGER,MAIN_HAND,1
core_harvesting,VERY_RARE,DIGGER,MAIN_HAND,1
molten,RARE,DIGGER,MAIN_HAND,1
vein_miner,RARE,DIGGER,MAIN_HAND,3
burrowing,RARE,DIGGER,MAIN_HAND,3
shovel_halberd,VERY_RARE,DIGGER,MAIN_HAND,5
shovel_heavy_hit,RARE,DIGGER,MAIN_HAND,3
armor_pry,RARE,DIGGER,MAIN_HAND,3
shovel_blade,UNCOMMON,DIGGER,MAIN_HAND,3
scooping,UNCOMMON,DIGGER,MAIN_HAND,3
snow_remover_shovel,COMMON,DIGGER,MAIN_HAND,1
phasing,VERY_RARE,BOW,MAIN_HAND,1
storm_strike,RARE,BOW,MAIN_HAND,5
delay,RARE,BOW,MAIN_HAND,5
sniper,RARE,BOW,MAIN_HAND,3
multishot_bow,UNCOMMON,BOW,MAIN_HAND,3
chaos,UNCOMMON,BOW,MAIN_HAND,1
brimstone,VERY_RARE,CROSSBOW,MAIN_HAND,5
scatter,RARE,CROSSBOW,MAIN_HAND,1
torch,COMMON,CROSSBOW,MAIN_HAND,1
poison_arrow,COMMON,BOW,MAIN_HAND,2
warp,VERY_RARE,BOW,MAIN_HAND,1
leech,RARE,WEAPON,MAIN_HAND,3
thunderstruck,VERY_RARE,BOW,MAIN_HAND,1
meteor,RARE,BOW,MAIN_HAND,1
disarm,RARE,WEAPON,MAIN_HAND,3
grapple,UNCOMMON,BOW,MAIN_HAND,1
commander,VERY_RARE,ARMOR_HEAD,HEAD,1
illager_commander,VERY_RARE,ARMOR_HEAD,HEAD,1
undead_commander,VERY_RARE,ARMOR_HEAD,HEAD,1
perception,VERY_RARE,ARMOR_HEAD,HEAD,1
veil,VERY_RARE,ARMOR_HEAD,HEAD,1
mystic_mind,RARE,ARMOR_HEAD,HEAD,1
assimilation,UNCOMMON,ARMOR_HEAD,HEAD,1
inner_fear,VERY_RARE,ARMOR_CHEST,CHEST,1
wardenspine,RARE,ARMOR_CHEST,CHEST,3
punching_armor,RARE,ARMOR_CHEST,CHEST,10
adrenaline,RARE,ARMOR_CHEST,CHEST,3
strafe,UNCOMMON,ARMOR_CHEST,CHEST,3
amphibious,UNCOMMON,ARMOR_CHEST,CHEST,1
slide,VERY_RARE,ARMOR_LEGS,LEGS,3
dash,RARE,ARMOR_LEGS,LEGS,3
leap_power,UNCOMMON,ARMOR_LEGS,LEGS,5
basic_leap_power,COMMON,ARMOR_LEGS,LEGS,3
gale,VERY_RARE,ARMOR_FEET,FEET,10
buoy,RARE,ARMOR_FEET,FEET,3
bouncy,RARE,ARMOR_FEET,FEET,3
e_speed,RARE,ARMOR_FEET,FEET,3
sticky,UNCOMMON,ARMOR_FEET,FEET,1
blaze_walker,UNCOMMON,ARMOR_FEET,FEET,1
bash_power,UNCOMMON,BREAKABLE,HANDS,3
bash_damage,UNCOMMON,BREAKABLE,HANDS,3
shield_efficiency,COMMON,BREAKABLE,HANDS,1
chrono_mending,VERY_RARE,BREAKABLE,HANDS,5
basic_chrono_mending,RARE,BREAKABLE,HANDS,3
basic_mending,COMMON,BREAKABLE,HANDS,5
phoenix,VERY_RARE,ARMOR,ARMOR,3
eternal,VERY_RARE,BREAKABLE,HANDS,1
magnetic,UNCOMMON,ARMOR,ARMOR,1
explosion_protection,RARE,ARMOR,ARMOR,5
fire_protection_enhancement,RARE,ARMOR,ARMOR,4
projectile_protection_enhancement,RARE,ARMOR,ARMOR,4
divine_protection,VERY_RARE,ARMOR,ARMOR,5
infernal_armor,VERY_RARE,ARMOR_CHEST,CHEST,1
fire_heart,VERY_RARE,ARMOR_CHEST,CHEST,3
water_heart,VERY_RARE,ARMOR_CHEST,CHEST,3
earth_heart,VERY_RARE,ARMOR_CHEST,CHEST,3
wind_heart,VERY_RARE,ARMOR_CHEST,CHEST,3
electric_heart,VERY_RARE,ARMOR_CHEST,CHEST,3
shadow_heart,VERY_RARE,ARMOR_CHEST,CHEST,3
light_heart,VERY_RARE,ARMOR_CHEST,CHEST,3
ember_core,RARE,ARMOR_HEAD,HEAD,3
tidal_ward,RARE,ARMOR_FEET,FEET,3
stonebound_roots,RARE,ARMOR_LEGS,LEGS,3
gale_step,RARE,ARMOR_FEET,FEET,3
overcharge,RARE,WEAPON,MAIN_HAND,3
radiant_ward,VERY_RARE,ARMOR_HEAD,HEAD,3
umbral_pact,VERY_RARE,ARMOR_LEGS,LEGS,3
heart_resonance,VERY_RARE,ARMOR_CHEST,CHEST,1
salamanders_vow,RARE,ARMOR_HEAD,HEAD,3
riptide_curse,VERY_RARE,ARMOR_LEGS,LEGS,3
titans_grasp,RARE,WEAPON,MAIN_HAND,3
zephyrs_gambit,VERY_RARE,ARMOR_CHEST,CHEST,3
thundercall_pact,RARE,WEAPON,MAIN_HAND,3
voidlings_hunger,VERY_RARE,ARMOR_HEAD,HEAD,3
seraphs_judgment,RARE,WEAPON,MAIN_HAND,3
chimeras_whim,VERY_RARE,ARMOR_FEET,FEET,1
nether_corrosion,VERY_RARE,BREAKABLE,HANDS,1
end_corrosion,VERY_RARE,BREAKABLE,HANDS,1
fear,COMMON,WEAPON,MAIN_HAND,1
haste_surge,COMMON,DIGGER,MAIN_HAND,10
breath_holding,RARE,ARMOR_HEAD,HEAD,1
high_altitude_hypoxia,RARE,ARMOR_HEAD,HEAD,1
deep_hypoxia,RARE,ARMOR_HEAD,HEAD,1
curse_of_tremor,RARE,BREAKABLE,HANDS,1
inverted_arrows,VERY_RARE,BOW,MAIN_HAND,1
whisper,VERY_RARE,BOW,MAIN_HAND,1
flint_heart,RARE,BOW,MAIN_HAND,3
ricochet,RARE,BOW,MAIN_HAND,5
ranger,VERY_RARE,BOW,MAIN_HAND,3
steady_shot,VERY_RARE,BOW,MAIN_HAND,1
enemy_attractor,VERY_RARE,BOW,MAIN_HAND,1
pierce,UNCOMMON,BOW,MAIN_HAND,5
heavy_range_crossbow,RARE,CROSSBOW,MAIN_HAND,5
peregrine,RARE,CROSSBOW,MAIN_HAND,3
wraith_arrow,VERY_RARE,BOW,MAIN_HAND,1
blazing_arrow,UNCOMMON,BOW,MAIN_HAND,1
dragons_breath_arrow,RARE,BOW,MAIN_HAND,1
water_arrow,RARE,BOW,MAIN_HAND,1
dry_arrow,UNCOMMON,BOW,MAIN_HAND,1
heavy_impact,RARE,BOW,MAIN_HAND,3
teleport_arrow,VERY_RARE,BOW,MAIN_HAND,1
swap_arrow,VERY_RARE,BOW,MAIN_HAND,1
toy,COMMON,BOW,MAIN_HAND,1
instant_shot,RARE,BOW,MAIN_HAND,1
transfer,UNCOMMON,BOW,MAIN_HAND,1
weak_force,COMMON,BOW,MAIN_HAND,3
string_snap,COMMON,BOW,MAIN_HAND,3
retrieval,RARE,BOW,MAIN_HAND,10
rain_nourishment,RARE,ARMOR_HEAD,HEAD,5
fast_eating,UNCOMMON,ARMOR_HEAD,HEAD,3
phantom_bee_vex_aversion,UNCOMMON,ARMOR_HEAD,HEAD,1
king,VERY_RARE,ARMOR_HEAD,HEAD,5
general,VERY_RARE,ARMOR_HEAD,HEAD,3
priests_blessing,VERY_RARE,ARMOR_HEAD,HEAD,1
breath_heal,RARE,ARMOR_HEAD,HEAD,1
night_veil,RARE,ARMOR_HEAD,HEAD,1
resistance_burst,RARE,ARMOR_CHEST,CHEST,10
resistance_sustain,VERY_RARE,ARMOR_CHEST,CHEST,3
pain_devour,UNCOMMON,ARMOR_CHEST,CHEST,5
stomach_pouch,RARE,ARMOR_CHEST,CHEST,5
big_stomach,RARE,ARMOR_CHEST,CHEST,5
sprint_impact,VERY_RARE,ARMOR_CHEST,CHEST,10
block,VERY_RARE,ARMOR_CHEST,CHEST,5
life_block,RARE,ARMOR_CHEST,CHEST,5
oceans_blessing,RARE,ARMOR_CHEST,CHEST,1
iron_lung,VERY_RARE,ARMOR_CHEST,CHEST,1
last_stand_toughness,VERY_RARE,ARMOR_CHEST,CHEST,5
heartbeat_rhythm,RARE,ARMOR_CHEST,CHEST,10
martial_rhythm,UNCOMMON,ARMOR_CHEST,CHEST,5
powerful_thorns,VERY_RARE,ARMOR_CHEST,CHEST,2
soul_repulsion_blast,VERY_RARE,ARMOR_CHEST,CHEST,2
item_attraction,COMMON,ARMOR_CHEST,CHEST,5
dread_aura,VERY_RARE,ARMOR_CHEST,CHEST,1
thirsty_heart,VERY_RARE,ARMOR_CHEST,CHEST,1
conduit_heart,RARE,ARMOR_CHEST,CHEST,1
pebblekin,RARE,ARMOR_CHEST,CHEST,1
heavy_wound_punch_gauntlet,VERY_RARE,ARMOR_CHEST,CHEST,1
empty_fist_gauntlet,VERY_RARE,ARMOR_CHEST,CHEST,3
red_strike_gauntlet,VERY_RARE,ARMOR_CHEST,CHEST,3
tendon_break_gauntlet,VERY_RARE,ARMOR_CHEST,CHEST,1
bone_break_gauntlet,VERY_RARE,ARMOR_CHEST,CHEST,5
focused_punch_gauntlet,VERY_RARE,ARMOR_CHEST,CHEST,1
straight_reach_gauntlet,RARE,ARMOR_CHEST,CHEST,3
wing_chun_gauntlet,VERY_RARE,ARMOR_CHEST,CHEST,5
sprint_punch_gauntlet,UNCOMMON,ARMOR_CHEST,CHEST,5
rock_breaking_gauntlet,COMMON,ARMOR_CHEST,CHEST,1
diamond_glow_gauntlet,VERY_RARE,ARMOR_CHEST,CHEST,1
blaze_battle,RARE,ARMOR_CHEST,CHEST,5
blaze_repulsion_heart,VERY_RARE,ARMOR_CHEST,CHEST,1
scorching_bath,RARE,ARMOR_CHEST,CHEST,10
fire_devour,UNCOMMON,ARMOR_CHEST,CHEST,3
burning_heart,COMMON,ARMOR_CHEST,CHEST,3
fire_shell,VERY_RARE,ARMOR_CHEST,CHEST,3
blazing_rage,RARE,ARMOR_CHEST,CHEST,3
meat_armor,RARE,ARMOR_CHEST,CHEST,5
hundred_battles_veteran,VERY_RARE,ARMOR_CHEST,CHEST,5
tempered_body,VERY_RARE,ARMOR_CHEST,CHEST,3
gluttony,VERY_RARE,ARMOR_CHEST,CHEST,5
sturdy_brute,VERY_RARE,ARMOR_CHEST,CHEST,1
steel_body,VERY_RARE,ARMOR_CHEST,CHEST,1
corpulent,VERY_RARE,ARMOR_CHEST,CHEST,1
shelter,RARE,ARMOR_CHEST,CHEST,1
campfire_heal,RARE,ARMOR_CHEST,CHEST,1
focused_steadiness,RARE,ARMOR_LEGS,LEGS,3
magma_walker,UNCOMMON,ARMOR_FEET,FEET,1
meteor_stomp,VERY_RARE,ARMOR_FEET,FEET,1
cloud_stride,RARE,ARMOR_FEET,FEET,1
basic_lightness,UNCOMMON,ARMOR_FEET,FEET,5
lightness,RARE,ARMOR_FEET,FEET,5
basic_swiftness,UNCOMMON,ARMOR_FEET,FEET,3
swiftness,RARE,ARMOR_FEET,FEET,3
rapid_drop_stop,RARE,ARMOR_FEET,FEET,1
twenty_fourth_blessing,VERY_RARE,ARMOR_FEET,FEET,1
foot_placement,VERY_RARE,ARMOR_FEET,FEET,1
range_foot_placement,VERY_RARE,ARMOR_FEET,FEET,1
panic_escape,RARE,ARMOR_FEET,FEET,3
last_stand_escape,UNCOMMON,ARMOR_FEET,FEET,1
oxygen_sprint,RARE,ARMOR_FEET,FEET,1
oxygen_lack_haste,UNCOMMON,ARMOR_FEET,FEET,3
stinky_feet,UNCOMMON,ARMOR_FEET,FEET,3
super_stinky_feet,VERY_RARE,ARMOR_FEET,FEET,3
oxygen_hover,UNCOMMON,ARMOR_FEET,FEET,1
crash_landing,COMMON,ARMOR_FEET,FEET,1
shadow_sprint,RARE,ARMOR_FEET,FEET,3
light_walker,UNCOMMON,ARMOR_FEET,FEET,3
high_step,UNCOMMON,ARMOR_FEET,FEET,10
shortness_of_breath,COMMON,ARMOR_HEAD,HEAD,1
enemy_speed_pursuit,COMMON,ARMOR_FEET,FEET,1
chest_tightness,COMMON,ARMOR_CHEST,CHEST,1
fracture,COMMON,ARMOR_LEGS,LEGS,1
wound_crack,COMMON,ARMOR,ARMOR,3
crippled,UNCOMMON,ARMOR,ARMOR,2
armor_damage,COMMON,ARMOR,ARMOR,3
armor_shatter,UNCOMMON,ARMOR,ARMOR,2
noise_disturbance,COMMON,ARMOR_HEAD,HEAD,1
lightning_calamity,COMMON,ARMOR_HEAD,HEAD,1
wing_toughness_armor,RARE,WEARABLE,CHEST,1
earth_bound,UNCOMMON,ARMOR,ARMOR,1
undead_curse,COMMON,WEAPON,MAIN_HAND,1
overworld_curse,COMMON,WEAPON,MAIN_HAND,1
nether_curse,COMMON,WEAPON,MAIN_HAND,1
end_curse,COMMON,ARMOR_HEAD,HEAD,1
battle_scarred,COMMON,WEAPON,MAIN_HAND,1
blunt,COMMON,WEAPON,MAIN_HAND,3
exhaustion,COMMON,WEAPON,MAIN_HAND,1
short_reach,COMMON,DIGGER,MAIN_HAND,3
low_crit_rate,COMMON,WEAPON,MAIN_HAND,5
focused_crit,VERY_RARE,WEAPON,MAIN_HAND,1
low_crit_damage,COMMON,WEAPON,MAIN_HAND,5
normal_crit_damage,RARE,BREAKABLE,MAIN_HAND,5
overclocked_crit,VERY_RARE,WEAPON,MAIN_HAND,10
sickle_damage,RARE,DIGGER,MAIN_HAND,3
sickle_slash,RARE,DIGGER,MAIN_HAND,5
bountiful_harvest,UNCOMMON,DIGGER,MAIN_HAND,3
loot_harvest,RARE,DIGGER,MAIN_HAND,3
farmers_hoe,UNCOMMON,DIGGER,MAIN_HAND,1
weeding_hoe,COMMON,DIGGER,MAIN_HAND,1
soul_reaping_sickle,VERY_RARE,DIGGER,MAIN_HAND,10
soul_sacrifice_slash,VERY_RARE,DIGGER,MAIN_HAND,1
execute_power,RARE,DIGGER,MAIN_HAND,5
utility_trench_shovel,COMMON,DIGGER,MAIN_HAND,1
universal_trench_shovel,RARE,DIGGER,MAIN_HAND,1
shield_quake,RARE,WEAPON,OFF_HAND,2
hatred_draw,COMMON,WEAPON,OFF_HAND,1
ore_detector,RARE,DIGGER,MAIN_HAND,3
horse_boots,UNCOMMON,ARMOR_FEET,FEET,3
food_is_heaven,RARE,ARMOR_HEAD,HEAD,1
transfer_misfortune,RARE,WEAPON,MAIN_HAND,3
point_shoot,UNCOMMON,BOW,MAIN_HAND,3
recycle,UNCOMMON,BREAKABLE,MAIN_HAND,1
cloud_walker,RARE,ARMOR_FEET,FEET,1
stealth_hunter,VERY_RARE,WEAPON,MAIN_HAND,3
army_summon,VERY_RARE,WEAPON,MAIN_HAND,1
berserk,RARE,WEAPON,MAIN_HAND,3
bounce,RARE,BOW,MAIN_HAND,5
exercise,RARE,ARMOR_CHEST,CHEST,3
haste_continuation,UNCOMMON,DIGGER,MAIN_HAND,3
military_shovel,RARE,DIGGER,MAIN_HAND,3
momentum,RARE,ARMOR_FEET,FEET,3
trailblazer,UNCOMMON,ARMOR_FEET,FEET,3
wall_runner,VERY_RARE,ARMOR_LEGS,LEGS,2
evasive_footwork,RARE,ARMOR_LEGS,LEGS,3
burst_step,VERY_RARE,ARMOR_FEET,FEET,3
windrunner,VERY_RARE,ARMOR_FEET,FEET,3
mental_clarity,UNCOMMON,ARMOR_HEAD,HEAD,3
foresight,RARE,ARMOR_HEAD,HEAD,3
miners_guidance,RARE,ARMOR_HEAD,HEAD,5
echolocation,RARE,ARMOR_HEAD,HEAD,2
concentration,RARE,ARMOR_HEAD,HEAD,3
curse_of_whispers,VERY_RARE,ARMOR_HEAD,HEAD,1
adaptive_shell,RARE,ARMOR_CHEST,CHEST,3
final_breath,VERY_RARE,ARMOR_CHEST,CHEST,1
bastion_heart,RARE,ARMOR_CHEST,CHEST,3
kinetic_conversion,RARE,ARMOR_CHEST,CHEST,3
vital_reserve,VERY_RARE,ARMOR_CHEST,CHEST,3
glass_bones_champion_curse,VERY_RARE,ARMOR_CHEST,CHEST,3
phantom_step,RARE,ARMOR_LEGS,LEGS,2
pivot,RARE,ARMOR_LEGS,LEGS,3
anchoring,UNCOMMON,ARMOR_LEGS,LEGS,3
combat_roll,RARE,ARMOR_LEGS,LEGS,3
hunters_pace,RARE,ARMOR_LEGS,LEGS,3
carriers_stride,UNCOMMON,ARMOR_LEGS,LEGS,3
brittle_knees,VERY_RARE,ARMOR_LEGS,LEGS,3
elastic_soles,RARE,ARMOR_FEET,FEET,3
tidal_step,UNCOMMON,ARMOR_FEET,FEET,3
frost_trail,RARE,ARMOR_FEET,FEET,2
ember_step,RARE,ARMOR_FEET,FEET,2
surefooted,UNCOMMON,ARMOR_FEET,FEET,3
dimensional_step,VERY_RARE,ARMOR_FEET,FEET,3
quicksand_curse,VERY_RARE,ARMOR_FEET,FEET,3
echo_strike,RARE,WEAPON,MAIN_HAND,3
interrupting_strike,RARE,WEAPON,MAIN_HAND,3
guard_breaker,VERY_RARE,WEAPON,MAIN_HAND,3
predator,RARE,WEAPON,MAIN_HAND,3
retaliation,RARE,WEAPON,MAIN_HAND,3
marked_prey,VERY_RARE,WEAPON,MAIN_HAND,3
seismic_strike,VERY_RARE,WEAPON,MAIN_HAND,3
mercy_curse,VERY_RARE,WEAPON,MAIN_HAND,1
selective_excavation,RARE,DIGGER,MAIN_HAND,3
mining_stability,UNCOMMON,DIGGER,MAIN_HAND,2
delicate_extraction,RARE,DIGGER,MAIN_HAND,3
prospecting,RARE,DIGGER,MAIN_HAND,3
replanting,UNCOMMON,DIGGER,MAIN_HAND,1
composting,UNCOMMON,DIGGER,MAIN_HAND,3
cave_in_curse,VERY_RARE,DIGGER,MAIN_HAND,3
tracer_shot,RARE,BOW,MAIN_HAND,5
briar_arrow,RARE,BOW,MAIN_HAND,3
suppression_shot,RARE,BOW,MAIN_HAND,3
elemental_chain,VERY_RARE,BOW,MAIN_HAND,3
recoil_launch,RARE,BOW,MAIN_HAND,3
ocean_current,RARE,TRIDENT,MAIN_HAND,3
perfect_parry,VERY_RARE,BREAKABLE,OFF_HAND,3
resonance_curse,VERY_RARE,BREAKABLE,OFF_HAND,3
pulling_power,RARE,FISHING_ROD,MAIN_HAND,5
fishing_grapple,VERY_RARE,FISHING_ROD,MAIN_HAND,3
dredge,RARE,FISHING_ROD,MAIN_HAND,3
reliability,RARE,FISHING_ROD,MAIN_HAND,2
experienced_fishing,UNCOMMON,FISHING_ROD,MAIN_HAND,3
infernal_line,VERY_RARE,FISHING_ROD,MAIN_HAND,1
thunder_hook,VERY_RARE,FISHING_ROD,MAIN_HAND,3
barbed_hook,RARE,FISHING_ROD,MAIN_HAND,5
cooked_catch,UNCOMMON,FISHING_ROD,MAIN_HAND,1
anglers_blessing,RARE,FISHING_ROD,MAIN_HAND,5
ender_hook,VERY_RARE,FISHING_ROD,MAIN_HAND,1
monster_fishing,VERY_RARE,FISHING_ROD,MAIN_HAND,3
false_bite_curse,COMMON,FISHING_ROD,MAIN_HAND,3
abyss_curse,RARE,FISHING_ROD,MAIN_HAND,3
scorching_line_curse,COMMON,FISHING_ROD,MAIN_HAND,3
homing_trident,VERY_RARE,TRIDENT,MAIN_HAND,4
hydro_shock,VERY_RARE,TRIDENT,MAIN_HAND,5
sincere_loyalty,VERY_RARE,TRIDENT,MAIN_HAND,1
scorching_prongs,RARE,TRIDENT,MAIN_HAND,3
wind_lance,RARE,TRIDENT,MAIN_HAND,3
harpoon,VERY_RARE,TRIDENT,MAIN_HAND,5
undertow,RARE,TRIDENT,MAIN_HAND,3
chain_lightning,VERY_RARE,TRIDENT,MAIN_HAND,3
lingering_skewer,RARE,TRIDENT,MAIN_HAND,3
tidecaller,RARE,TRIDENT,MAIN_HAND,3
sea_pogo,RARE,TRIDENT,MAIN_HAND,3
explosive_return,VERY_RARE,TRIDENT,MAIN_HAND,2
hostile_boomerang_curse,RARE,TRIDENT,MAIN_HAND,3
lightning_rod_curse,RARE,TRIDENT,MAIN_HAND,3
depth_curse,COMMON,TRIDENT,MAIN_HAND,3
aerodynamic,RARE,BREAKABLE,CHEST,3
air_brake,UNCOMMON,BREAKABLE,CHEST,1
winging,VERY_RARE,BREAKABLE,CHEST,1
iron_wings,VERY_RARE,BREAKABLE,CHEST,3
rocket_blast,VERY_RARE,BREAKABLE,CHEST,1
wind_rider,VERY_RARE,BREAKABLE,CHEST,3
ground_skimmer,RARE,BREAKABLE,CHEST,3
turbulence_curse,COMMON,BREAKABLE,CHEST,3
brittle_wings_curse,RARE,BREAKABLE,CHEST,3
sky_conductor_curse,RARE,BREAKABLE,CHEST,3
